item_id;supplier;category_id;color;image;size;price;stock_level;active;date_added
1;Personalis;77406;BlueViolet;https://picsum.photos/800/600;5;61.95;100;true;1733119375
2;ClearHealthCosts;92725;MediumAquaMarine;https://picsum.photos/800/600;6;53.58;100;true;1732978769
3;Enervee Corporation;46756;Yellow;https://picsum.photos/800/600;7;27.07;100;true;1732983402
4;realtor.com;44056;DarkOliveGreen;https://picsum.photos/800/600;8;32.95;100;true;1733113468
5;Cambridge Information Group;92314;ForestGreen;https://picsum.photos/800/600;6;41.55;100;true;1733140736
6;Knowledge Agency;50486;Turquoise;https://picsum.photos/800/600;7;22.72;100;true;1732994892
7;Healthline;55191;PowderBlue;https://picsum.photos/800/600;4;62.55;100;true;1733077649
8;BuildZoom;3605;LawnGreen;https://picsum.photos/800/600;7;38.89;100;true;1733048317
9;Graematter, Inc.;24985;Olive;https://picsum.photos/800/600;5;38.98;100;true;1732989527
10;POPVOX;21410;Brown;https://picsum.photos/800/600;8;26.78;100;true;1733108120
11;Iodine;21268;DarkOrchid;https://picsum.photos/800/600;7;39.85;100;true;1733048983
12;Citigroup;5717;PaleTurquoise;https://picsum.photos/800/600;5;44.84;100;true;1732997297
13;AreaVibes Inc.;79630;MediumTurquoise;https://picsum.photos/800/600;8;46.85;100;true;1733087518
14;TuvaLabs;52014;Darkorange;https://picsum.photos/800/600;7;28.73;100;true;1733029788
15;Climate Corporation;55780;LightSteelBlue;https://picsum.photos/800/600;7;41.66;100;true;1732970984
16;Healthgrades;95986;LightSeaGreen;https://picsum.photos/800/600;6;49.82;100;true;1733054609
17;Barchart;37776;White;https://picsum.photos/800/600;5;51.50;100;true;1733109047
18;Porch;77132;HotPink;https://picsum.photos/800/600;7;31.92;100;true;1732972983
19;Marlin Alter and Associates;904;Violet;https://picsum.photos/800/600;4;60.94;100;true;1733078277
20;Cambridge Information Group;54206;PapayaWhip;https://picsum.photos/800/600;6;72.80;100;true;1732992791
21;OnStar;4110;LightSteelBlue;https://picsum.photos/800/600;6;33.29;100;true;1733003312
22;WebFilings;23185;MediumVioletRed;https://picsum.photos/800/600;5;60.39;100;true;1733046594
23;Quandl;55194;SlateGray;https://picsum.photos/800/600;6;31.94;100;true;1733060460
24;Ernst & Young LLP;8185;MediumSpringGreen;https://picsum.photos/800/600;7;67.47;100;true;1733067413
25;Equal Pay for Women;58590;Olive;https://picsum.photos/800/600;6;53.85;100;true;1733050512
26;Nationwide Mutual Insurance Company;10338;Peru;https://picsum.photos/800/600;7;49.83;100;true;1732979685
27;Computer Packages Inc;91101;FireBrick;https://picsum.photos/800/600;4;36.68;100;true;1732992974
28;Revaluate;72733;Aqua;https://picsum.photos/800/600;4;48.43;100;true;1732980958
29;Mango Transit;20394;CadetBlue;https://picsum.photos/800/600;7;30.55;100;true;1733039343
30;Russell Investments;26449;PowderBlue;https://picsum.photos/800/600;5;58.33;100;true;1733016840
31;Barchart;53511;SaddleBrown;https://picsum.photos/800/600;4;78.19;100;true;1733118095
32;Recargo;68081;BlueViolet;https://picsum.photos/800/600;7;71.47;100;true;1733117481
33;Zoner;66326;LimeGreen;https://picsum.photos/800/600;6;71.11;100;true;1733077712
34;StreetCred Software, Inc;88296;LemonChiffon;https://picsum.photos/800/600;5;43.74;100;true;1733059553
35;Analytica;26812;Wheat;https://picsum.photos/800/600;6;27.26;100;true;1732995258
36;BetterLesson;79514;MediumSpringGreen;https://picsum.photos/800/600;6;47.69;100;true;1733109259
37;Relationship Science;47979;Wheat;https://picsum.photos/800/600;6;52.55;100;true;1732999178
38;Evidera;37238;Gold;https://picsum.photos/800/600;6;73.62;100;true;1733111782
39;Knowledge Agency;94865;DarkGoldenRod;https://picsum.photos/800/600;5;27.31;100;true;1733030296
40;Wheaton World Wide Moving;80672;Turquoise;https://picsum.photos/800/600;6;40.07;100;true;1733071457
41;Recargo;57853;LightBlue;https://picsum.photos/800/600;8;37.00;100;true;1733010317
42;Way Better Patents;2362;Darkorange;https://picsum.photos/800/600;7;72.07;100;true;1733089295
43;USSearch;94603;DarkMagenta;https://picsum.photos/800/600;7;29.83;100;true;1733081559
44;Healthline;19162;Orange;https://picsum.photos/800/600;6;59.22;100;true;1733100924
45;Import.io;26256;Snow;https://picsum.photos/800/600;7;58.96;100;true;1733120236
